crime_code,crime_name,month_end_date,detected,registered
1,Murder,2017-12-31,4.0,7
2,Att.to.C.Murder,2017-12-31,12.0,16
3,Dacoity,2017-12-31,3.0,4
4,Robbery (Excluding Chain Snatching),2017-12-31,55.0,84
5,Robbery -Chain Snatching,2017-12-31,4.0,12
6,Extortion,2017-12-31,15.0,21
7,H.B.T.Day / Night,2017-12-31,49.0,205
8,Thefts,2017-12-31,126.0,643
9,M.V.Thefts.,2017-12-31,44.0,376
10,Hurt,2017-12-31,272.0,377
11,Riots.,2017-12-31,27.0,38
12,Rape,2017-12-31,50.0,57
13,Molestaion,2017-12-31,157.0,224
14,Other I.P.C.,2017-12-31,1433.0,2186
1,Murder,2018-01-31,9.0,10
2,Att.to.C.Murder,2018-01-31,21.0,23
3,Dacoity,2018-01-31,0.0,1
4,Robbery (Excluding Chain Snatching),2018-01-31,65.0,88
5,Robbery -Chain Snatching,2018-01-31,5.0,10
6,Extortion,2018-01-31,16.0,20
7,H.B.T.Day / Night,2018-01-31,73.0,220
8,Thefts,2018-01-31,144.0,539
9,M.V.Thefts.,2018-01-31,53.0,344
10,Hurt,2018-01-31,361.0,481
11,Riots.,2018-01-31,60.0,101
12,Rape,2018-01-31,49.0,64
13,Molestaion,2018-01-31,164.0,240
14,Other I.P.C.,2018-01-31,766.0,1484
1,Murder,2018-02-28,6.0,7
2,Att.to.C.Murder,2018-02-28,18.0,20
3,Dacoity,2018-02-28,2.0,2
4,Robbery (Excluding Chain Snatching),2018-02-28,55.0,79
5,Robbery -Chain Snatching,2018-02-28,3.0,10
6,Extortion,2018-02-28,15.0,21
7,H.B.T.Day / Night,2018-02-28,38.0,181
8,Thefts,2018-02-28,111.0,530
9,M.V.Thefts.,2018-02-28,52.0,295
10,Hurt,2018-02-28,276.0,385
11,Riots.,2018-02-28,27.0,46
12,Rape,2018-02-28,37.0,57
13,Molestaion,2018-02-28,142.0,207
14,Other I.P.C.,2018-02-28,681.0,1377
1,Murder,2018-03-31,12.0,12
2,Att.to.C.Murder,2018-03-31,17.0,20
3,Dacoity,2018-03-31,5.0,6
4,Robbery (Excluding Chain Snatching),2018-03-31,67.0,90
5,Robbery -Chain Snatching,2018-03-31,3.0,11
6,Extortion,2018-03-31,18.0,23
7,H.B.T.Day / Night,2018-03-31,42.0,197
8,Thefts,2018-03-31,112.0,548
9,M.V.Thefts.,2018-03-31,50.0,301
10,Hurt,2018-03-31,358.0,501
11,Riots.,2018-03-31,39.0,53
12,Rape,2018-03-31,50.0,67
13,Molestaion,2018-03-31,165.0,236
14,Other I.P.C.,2018-03-31,828.0,1525
1,Murder,2018-04-30,16.0,19
2,Att.to.C.Murder,2018-04-30,23.0,25
3,Dacoity,2018-04-30,3.0,4
4,Robbery (Excluding Chain Snatching),2018-04-30,48.0,69
5,Robbery -Chain Snatching,2018-04-30,3.0,7
6,Extortion,2018-04-30,10.0,13
7,H.B.T.Day / Night,2018-04-30,41.0,169
8,Thefts,2018-04-30,110.0,569
9,M.V.Thefts.,2018-04-30,33.0,262
10,Hurt,2018-04-30,319.0,431
11,Riots.,2018-04-30,21.0,37
12,Rape,2018-04-30,57.0,72
13,Molestaion,2018-04-30,165.0,231
14,Other I.P.C.,2018-04-30,679.0,1364
1,Murder,2018-05-31,14.0,16
2,Att.to.C.Murder,2018-05-31,16.0,18
3,Dacoity,2018-05-31,3.0,4
4,Robbery (Excluding Chain Snatching),2018-05-31,43.0,71
5,Robbery -Chain Snatching,2018-05-31,4.0,14
6,Extortion,2018-05-31,9.0,16
7,H.B.T.Day / Night,2018-05-31,34.0,165
8,Thefts,2018-05-31,115.0,492
9,M.V.Thefts.,2018-05-31,53.0,248
10,Hurt,2018-05-31,320.0,428
11,Riots.,2018-05-31,29.0,44
12,Rape,2018-05-31,45.0,60
13,Molestaion,2018-05-31,136.0,206
14,Other I.P.C.,2018-05-31,646.0,1275
1,Murder,2018-06-30,18.0,21
2,Att.to.C.Murder,2018-06-30,21.0,22
3,Dacoity,2018-06-30,1.0,1
4,Robbery (Excluding Chain Snatching),2018-06-30,55.0,70
5,Robbery -Chain Snatching,2018-06-30,2.0,13
6,Extortion,2018-06-30,12.0,17
7,H.B.T.Day / Night,2018-06-30,31.0,154
8,Thefts,2018-06-30,112.0,449
9,M.V.Thefts.,2018-06-30,25.0,232
10,Hurt,2018-06-30,302.0,409
11,Riots.,2018-06-30,25.0,41
12,Rape,2018-06-30,37.0,55
13,Molestaion,2018-06-30,108.0,175
14,Other I.P.C.,2018-06-30,609.0,1290
1,Murder,2018-07-31,11.0,13
2,Att.to.C.Murder,2018-07-31,13.0,15
3,Dacoity,2018-07-31,2.0,2
4,Robbery (Excluding Chain Snatching),2018-07-31,60.0,78
5,Robbery -Chain Snatching,2018-07-31,4.0,9
6,Extortion,2018-07-31,10.0,17
7,H.B.T.Day / Night,2018-07-31,46.0,203
8,Thefts,2018-07-31,136.0,502
9,M.V.Thefts.,2018-07-31,34.0,217
10,Hurt,2018-07-31,291.0,380
11,Riots.,2018-07-31,21.0,26
12,Rape,2018-07-31,62.0,74
13,Molestaion,2018-07-31,114.0,171
14,Other I.P.C.,2018-07-31,746.0,1256
1,Murder,2018-08-31,9.0,9
2,Att.to.C.Murder,2018-08-31,27.0,27
3,Dacoity,2018-08-31,2.0,2
4,Robbery (Excluding Chain Snatching),2018-08-31,69.0,85
5,Robbery -Chain Snatching,2018-08-31,7.0,19
6,Extortion,2018-08-31,20.0,27
7,H.B.T.Day / Night,2018-08-31,52.0,207
8,Thefts,2018-08-31,126.0,539
9,M.V.Thefts.,2018-08-31,37.0,230
10,Hurt,2018-08-31,277.0,394
11,Riots.,2018-08-31,38.0,44
12,Rape,2018-08-31,51.0,62
13,Molestaion,2018-08-31,137.0,198
14,Other I.P.C.,2018-08-31,822.0,1415
1,Murder,2018-09-30,16.0,16
2,Att.to.C.Murder,2018-09-30,19.0,24
3,Dacoity,2018-09-30,1.0,1
4,Robbery (Excluding Chain Snatching),2018-09-30,62.0,76
5,Robbery -Chain Snatching,2018-09-30,6.0,19
6,Extortion,2018-09-30,11.0,16
7,H.B.T.Day / Night,2018-09-30,57.0,205
8,Thefts,2018-09-30,113.0,470
9,M.V.Thefts.,2018-09-30,47.0,258
10,Hurt,2018-09-30,350.0,458
11,Riots.,2018-09-30,34.0,40
12,Rape,2018-09-30,42.0,59
13,Molestaion,2018-09-30,164.0,235
14,Other I.P.C.,2018-09-30,652.0,1222
1,Murder,2018-10-31,13.0,14
2,Att.to.C.Murder,2018-10-31,28.0,29
3,Dacoity,2018-10-31,2.0,2
4,Robbery (Excluding Chain Snatching),2018-10-31,66.0,85
5,Robbery -Chain Snatching,2018-10-31,9.0,26
6,Extortion,2018-10-31,15.0,21
7,H.B.T.Day / Night,2018-10-31,54.0,176
8,Thefts,2018-10-31,119.0,568
9,M.V.Thefts.,2018-10-31,49.0,306
10,Hurt,2018-10-31,398.0,542
11,Riots.,2018-10-31,36.0,47
12,Rape,2018-10-31,51.0,66
13,Molestaion,2018-10-31,193.0,286
14,Other I.P.C.,2018-10-31,1319.0,1984
1,Murder,2018-11-30,8.0,11
2,Att.to.C.Murder,2018-11-30,26.0,27
3,Dacoity,2018-11-30,1.0,1
4,Robbery (Excluding Chain Snatching),2018-11-30,61.0,82
5,Robbery -Chain Snatching,2018-11-30,8.0,20
6,Extortion,2018-11-30,18.0,21
7,H.B.T.Day / Night,2018-11-30,49.0,195
8,Thefts,2018-11-30,116.0,513
9,M.V.Thefts.,2018-11-30,35.0,266
10,Hurt,2018-11-30,358.0,460
11,Riots.,2018-11-30,22.0,29
12,Rape,2018-11-30,53.0,66
13,Molestaion,2018-11-30,141.0,219
14,Other I.P.C.,2018-11-30,1601.0,2208
1,Murder,2018-12-31,11.0,11
2,Att.to.C.Murder,2018-12-31,26.0,27
3,Dacoity,2018-12-31,2.0,2
4,Robbery (Excluding Chain Snatching),2018-12-31,48.0,66
5,Robbery -Chain Snatching,2018-12-31,7.0,13
6,Extortion,2018-12-31,12.0,14
7,H.B.T.Day / Night,2018-12-31,38.0,170
8,Thefts,2018-12-31,126.0,542
9,M.V.Thefts.,2018-12-31,41.0,243
10,Hurt,2018-12-31,249.0,342
11,Riots.,2018-12-31,13.0,27
12,Rape,2018-12-31,49.0,62
13,Molestaion,2018-12-31,129.0,182
14,Other I.P.C.,2018-12-31,2271.0,2896
1,Murder,2019-01-31,8.0,10
2,Att.to.C.Murder,2019-01-31,27.0,28
3,Dacoity,2019-01-31,3.0,3
4,Robbery (Excluding Chain Snatching),2019-01-31,77.0,90
5,Robbery -Chain Snatching,2019-01-31,5.0,9
6,Extortion,2019-01-31,15.0,19
7,H.B.T.Day / Night,2019-01-31,54.0,160
8,Thefts,2019-01-31,140.0,458
9,M.V.Thefts.,2019-01-31,43.0,215
10,Hurt,2019-01-31,276.0,353
11,Riots.,2019-01-31,26.0,33
12,Rape,2019-01-31,55.0,65
13,Molestaion,2019-01-31,153.0,230
14,Other I.P.C.,2019-01-31,1265.0,1888
1,Murder,2019-02-28,9.0,10
2,Att.to.C.Murder,2019-02-28,23.0,27
3,Dacoity,2019-02-28,0.0,0
4,Robbery (Excluding Chain Snatching),2019-02-28,63.0,80
5,Robbery -Chain Snatching,2019-02-28,4.0,11
6,Extortion,2019-02-28,11.0,25
7,H.B.T.Day / Night,2019-02-28,35.0,161
8,Thefts,2019-02-28,128.0,425
9,M.V.Thefts.,2019-02-28,52.0,223
10,Hurt,2019-02-28,307.0,362
11,Riots.,2019-02-28,29.0,43
12,Rape,2019-02-28,50.0,65
13,Molestaion,2019-02-28,151.0,204
14,Other I.P.C.,2019-02-28,961.0,1569
1,Murder,2019-03-31,13.0,14
2,Att.to.C.Murder,2019-03-31,21.0,23
3,Dacoity,2019-03-31,0.0,0
4,Robbery (Excluding Chain Snatching),2019-03-31,72.0,90
